msr,id,tp,twsp,ws,wy,dt,wd,qm.cfs,qc.cfs,qmx.cfs,qmn.cfs,q.cv,uqm.cfsm,uqc.cfsm,ptm.mm,ptmx.mm,ptmn.mm,pt.cv,lbn.,uq.cm,ph.,cnd.us_s,alk.mg_l,sed.mg_l,slc.mg_l,utn.mg_l,tdn.mg_l,utkn.mg_l,tkn.mg_l,don.mg_l,ptn.mg_l,nhn.mg_l,non.mg_l,sod.mg_l,pot.mg_l,cal.mg_l,mag.mg_l,sul.mg_l,chl.mg_l,doc.mg_l,tn.s.mg_mg,tc.s.mg_mg,tcn.,tn.mg_mgsed,tc.mg_mgsed,tn.mg_100mgsed,tc.mg_100mgsed,d13c.permil,d15n.permil,fch,ssn,log.uq,log.qmx,log.ptm,log.ptmx,log.sed.mg_l,log.slc.mg_l,log.alk.mg_l,log.don.mg_l,log.ptn.mg_l,log.nhn.mg_l,log.utn.mg_l,log.tdn.mg_l,log.doc.mg_l,oc.mg_l,n.mg_l,ws.f,logt,cdt,sdt
ms,9_1982_472B,F,264,9,1982,30075,216,0.068,0.476,0.074,0.059,7.498558108,2.060714286,0.536,1.814285714,9.5,0,197.2332235,472B,1.39,7.4,48.6,21.46,0.18,9.417807766,0.03,0.03,0.03,0.03,0.03,NA,NA,0.001,2.65,0.17,4.21,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/4/1982,Spring,0.329303747,-2.603690186,1.034708487,2.351375257,-1.714798428,2.24260234,3.066190737,-3.506557897,NA,NA,0.029558802,0.029558802,NA,NA,NA,Old-growth,post-log,-0.838279705,-0.545240439
md,9_1982_475B,F,265,9,1982,30082,223,0.055857143,0.391,0.059,0.048,3.000804076,1.693714286,0.439,0.9,2.8,0,144.1592626,475B,1.13,7.4,50.2,21.96,15,9.407940579,0.04,0.04,0.04,0.04,0.04,NA,NA,NA,2.76,0.19,4.52,1.32,NA,NA,NA,0.000379712,0.003249178,9.983120253,0.005289957,0.045265948,0.528995661,4.526594822,NA,NA,5/11/1982,Spring,0.122217633,-2.830217835,0.641853886,1.335001067,2.708050201,2.241554075,3.089222617,-3.218875825,NA,NA,0.039220713,0.039220713,NA,0.678989223,0.079349349,Old-growth,post-log,-0.766658819,-0.642054713
md,9_1982_485B,F,266,9,1982,30089,230,0.044285714,0.31,0.048,0.042,5.933496629,1.340714286,0.349,1.242857143,8.1,0,243.5534272,485B,0.87,7.5,52.1,23.58,13.45,9.75343095,0.04,0.04,0.04,0.04,0.04,NA,NA,0.001,2.89,0.19,4.77,1.4,NA,NA,NA,0.000295732,0.003984623,15.71937946,0.002468378,0.03325832,0.246837816,3.325831971,NA,NA,5/18/1982,Spring,-0.139262067,-3.036554268,0.807750563,2.208274414,2.598979106,2.277619115,3.160398895,-3.218875825,NA,NA,0.039220713,0.039220713,NA,0.4473244,0.033199686,Old-growth,post-log,-0.683919422,-0.729557554
md,9_1982_482B,F,267,9,1982,30096,237,0.04,0.28,0.042,0.035,5.951190357,1.211857143,0.315,0,0,0,NA,482B,0.83,7.4,52.7,23.58,17.82,9.339510284,0.07,0.06,0.07,0.06,0.06,0.01,NA,0.001,2.98,0.19,4.63,1.47,NA,NA,NA,0.00043141,0.008329031,22.52426585,0.002534696,0.048936147,0.253469621,4.893614681,-24.04906676,-0.684827812,5/25/1982,Spring,-0.186329578,-3.170085661,0,0,2.880321422,2.234253819,3.160398895,-2.813410717,-4.605170186,NA,0.067658648,0.058268908,NA,0.872042136,0.045168286,Old-growth,post-log,-0.591261445,-0.806479946
md,9_1982_488B,F,268,9,1982,30103,244,0.031,0.217,0.035,0.029,8.118101543,0.943142857,0.246,0.271428571,1.5,0,203.7052893,488B,0.6,7.3,56.4,25.04,10,10.02031728,0.05,0.04,0.05,0.04,0.04,0.01,NA,0.003,2.98,0.18,4.92,1.46,NA,NA,NA,0.00071366,0.005617661,9.183555319,0.00815579,0.064199273,0.81557904,6.41992734,NA,NA,6/1/1982,Spring,-0.510825624,-3.352407217,0.240141127,0.916290732,2.302585093,2.30461476,3.220474546,-3.218875825,-4.605170186,NA,0.048790164,0.039220713,NA,0.641992734,0.081557904,Old-growth,post-log,-0.490028666,-0.871706319
ms,9_1982_498B,F,269,9,1982,30110,251,0.03,0.21,0.032,0.026,4.303314829,0.913857143,0.238,1.914285714,6.8,0,135.8352461,498B,0.64,7.5,54.7,25.67,1.48,9.927267833,0.05,0.04,0.05,0.04,0.04,0.01,NA,0.001,3.23,0.19,5.5,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/8/1982,Spring,-0.446287103,-3.442019376,1.069624752,2.054123734,0.392042088,2.295285297,3.245322995,-3.218875825,-4.605170186,NA,0.048790164,0.039220713,NA,NA,NA,Old-growth,post-log,-0.38168922,-0.924290722
ms,9_1982_495B,G,270,9,1982,30117,258,0.032571429,0.228,0.066,0.024,25.55553883,0.992142857,0.257,4.357142857,25,0,214.1442139,495B,0.63,7.4,56.4,27.62,0.57,10.10669331,0.05,0.05,0.05,0.05,0.05,NA,NA,0.002,3.37,0.2,5.87,1.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/15/1982,Summer,-0.46203546,-2.718100537,1.678430784,3.258096538,-0.562118918,2.313197908,3.318540148,-2.995732274,NA,NA,0.048790164,0.048790164,NA,NA,NA,Old-growth,post-log,-0.267814305,-0.963470549
md,9_1982_501B,F,271,9,1982,30124,265,0.025428571,0.178,0.029,0.021,7.81821189,0.770571429,0.2,1.442857143,5.8,0,173.3992897,501B,0.52,7.6,61.7,29.91,7.39,10.31724474,0.08,0.04,0.08,0.04,0.04,0.04,0.003,0.001,3.72,0.23,6.4,1.84,NA,NA,NA,0.000246314,0.004298825,20.36139145,0.008531533,0.148897614,0.853153298,14.88976138,NA,NA,6/22/1982,Summer,-0.653926467,-3.540459449,0.893168315,1.916922612,2.000127735,2.333816742,3.398192873,-3.218875825,-3.218875825,-5.80914299,0.076961041,0.039220713,NA,1.100353366,0.063048029,Old-growth,post-log,-0.150055398,-0.98867759
ms,9_1982_508B,F,272,9,1982,30145,286,0.024666667,0.518,0.045,0.021,18.23573419,0.754190476,0.586,2.728571429,15.5,0,176.6672451,508B,1.5,7.5,63,30.91,2.3,10.51743451,0.1,0.07,0.1,0.07,0.07,0.03,0.004,NA,3.84,0.21,6.64,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/13/1982,Summer,0.405465108,-3.101092789,1.316025165,2.803360381,0.832909123,2.35303431,3.431079756,-2.659260037,-3.506557897,-5.521460918,0.09531018,0.067658648,NA,NA,NA,Old-growth,post-log,0.209314646,-0.977848342
ms,9_1982_515B,F,273,9,1982,30159,300,0.021071429,0.295,0.023,0.019,5.085614876,0.642214286,0.335,0,0,0,NA,515B,0.86,7.6,50.8,33.33,2.88,11.26580697,0.08,0.06,0.08,0.06,0.05,0.02,0.006,NA,4.11,0.21,7,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7/27/1982,Summer,-0.15082289,-3.772261063,0,0,1.057790294,2.421772206,3.506457892,-2.995732274,-3.912023005,-5.11599581,0.076961041,0.058268908,NA,NA,NA,Old-growth,post-log,0.436651232,-0.89963087
ms,9_1982_522B,F,274,9,1982,30180,321,0.016714286,0.351,0.024,0.014,10.55823697,0.506047619,0.394,1.20952381,9.5,0,212.5608016,522B,1,7.6,78.6,35,11.95,10.98662565,0.08,0.07,0.08,0.07,0.046363636,0.01,NA,0.002,4.44,0.24,7.36,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/17/1982,Summer,0,-3.729701449,0.792777022,2.351375257,2.480731278,2.396678683,3.555348061,-3.071239826,-4.605170186,NA,0.076961041,0.067658648,NA,NA,NA,Old-growth,post-log,0.726607525,-0.687052767
md,9_1982_529B,F,275,9,1982,30201,342,0.013238095,0.278,0.019,0.009,19.68451026,0.39752381,0.31,0.728571429,13.5,0,405.2424623,529B,0.79,7.7,77.4,34.58,21.25,11.18773849,0.28,0.22,0.27,0.21,0.042727273,0.06,NA,0.007,3.91,0.78,7.38,2.14,NA,NA,NA,0.001072819,0.007329682,7.970868073,0.008083613,0.05522864,0.808361305,5.522863987,NA,NA,9/7/1982,Summer,-0.235722334,-3.9633163,0.547295304,2.674148649,3.056356895,2.414818401,3.54327548,-3.152917857,-2.813410717,NA,0.246860078,0.198850859,NA,1.173608597,0.171776777,Old-growth,post-log,0.922639549,-0.385663406
md,9_1982_536B,F,276,9,1982,30222,363,0.016714286,0.351,0.09,0.01,40.22999841,0.50647619,0.395,5.176190476,21.8,0,144.2266745,536B,0.94,7.6,70.7,31.87,12.61,10.52962584,0.11,0.09,0.09,0.07,0.039090909,0.02,NA,0.021,3.67,0.65,7.23,1.97,NA,NA,NA,0.001125985,0.006749276,6.993129045,0.012596104,0.07550244,1.259610392,7.550244015,-27.98757617,4.128444959,9/28/1982,Fall,-0.061875404,-2.407945609,1.820701654,3.126760536,2.53449015,2.354192793,3.461665128,-3.241865343,-3.912023005,NA,0.104360015,0.086177696,NA,0.95208577,0.15883687,Old-growth,post-log,0.999407401,-0.034421612
md,9_1983_543B,P,277,9,1983,30243,19,0.032809524,0.689,0.112,0.021,45.12140413,0.994142857,0.775,3.938095238,25.3,0,189.7630591,543B,2.01,7.6,61.7,27.46,5.12,9.906416174,0.09,0.06,0.08,0.05,0.035454545,0.03,NA,0.005,3.27,0.23,6.29,1.75,NA,NA,NA,0.000446901,0.004986392,13.01734061,0.010736147,0.119790927,1.073614696,11.97909273,NA,NA,10/19/1982,Fall,0.698134722,-2.189256408,1.596979677,3.269568939,1.633154439,2.293182646,3.3127304,-3.339503813,-3.506557897,NA,0.086177696,0.058268908,NA,0.613329548,0.054969072,Old-growth,post-log,0.946987753,0.321269662
md,9_1983_550B,F,278,9,1983,30265,41,0.111909091,2.462,1.369,0.026,177.0466065,3.393590909,2.776,11.15,61,0,150.6135934,550B,7.06,7.4,46.3,22.04,3.23,8.608783347,0.1,0.06,0.1,0.06,0.031818182,0.04,NA,0.002,2.56,0.2,5.14,1.42,NA,NA,NA,0.000866534,0.009827871,13.23184695,0.022601831,0.256340542,2.260183078,25.6340542,-26.99009301,0.89167362,11/10/1982,Fall,1.954445052,0.314080546,2.49732917,4.127134385,1.172482137,2.152783001,3.092858984,-3.447717397,-3.218875825,NA,0.09531018,0.058268908,NA,0.827979951,0.073003913,Old-growth,post-log,0.761104259,0.648629561
ms,9_1983_557B,F,279,9,1983,30285,61,0.15515,3.103,0.845,0.029,99.78939888,4.70425,3.498,11.03,40.3,0,120.8320464,557B,8.61,7.3,40.6,17.92,2.62,8.065297948,0.13,0.1,0.12,0.09,0.028181818,0.03,NA,0.01,2.28,0.15,4.23,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/30/1982,Fall,2.152924318,-0.168418652,2.48740353,3.7208625,0.963174318,2.087570654,2.885917408,-3.569078254,-3.506557897,NA,0.122217633,0.09531018,NA,NA,NA,Old-growth,post-log,0.497513289,0.867456355
ms,9_1983_564B,F,280,9,1983,30306,82,0.454761905,9.55,2.065,0.105,64.74797635,13.7912381,10.772,20.15238095,79.5,0,106.3295707,564B,27.02,7.4,36.7,16,2.1,8.049070891,0.08,0.06,0.08,0.06,0.024545455,0.02,NA,0.003,2,0.17,3.59,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/21/1982,Winter,3.296577333,0.725130226,3.051752474,4.388257184,0.741937345,2.085556667,2.772588722,-3.707228593,-3.912023005,NA,0.076961041,0.058268908,NA,NA,NA,Old-growth,post-log,0.158559385,0.987349442
ms,9_1983_571B,F,281,9,1983,30329,105,0.403913043,9.29,2.117,0.092,100.0060931,12.25147826,10.48,12.35217391,56.4,0,148.780703,571B,27.09,7.3,37.5,16.96,2.02,8.227038362,0.05,0.03,0.05,0.03,0.020909091,0.02,NA,0.001,2.1,0.17,3.61,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/13/1983,Winter,3.299164656,0.749999992,2.591679211,4.050044303,0.703097511,2.107426091,2.83085763,-3.867571243,-3.912023005,NA,0.048790164,0.029558802,NA,NA,NA,Old-growth,post-log,-0.23449139,0.972118197
ms,9_1983_578B,F,282,9,1983,30350,126,0.147761905,3.103,0.326,0.076,29.86203724,4.482666667,3.499,5.180952381,17.5,0,104.1825711,578B,9.01,7.6,42.3,19.92,0.56,8.896869017,0.03,0.04,0.03,0.04,0.017272727,NA,NA,0.001,2.39,0.17,4.02,1.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/3/1983,Winter,2.198335072,-1.120857898,1.821472367,2.917770732,-0.579818495,2.185699419,2.991724252,-4.05862648,NA,NA,0.029558802,0.039220713,NA,NA,NA,Old-growth,post-log,-0.563150724,0.826354199
ms,9_1983_585B,P,283,9,1983,30371,147,0.453380952,9.521,1.946,0.064,66.66228312,13.75114286,10.738,18.42380952,91,0,115.2109994,585B,26.94,7.3,40.9,18.54,1.38,8.569328123,0.05,0.05,0.05,0.05,0.013636364,NA,NA,NA,2.14,0.26,3.9,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/24/1983,Winter,3.293612171,0.665775984,2.966499608,4.521788577,0.322083499,2.148189331,2.91993056,-4.295015258,NA,NA,0.048790164,0.048790164,NA,NA,NA,Old-growth,post-log,-0.819014887,0.573772268
ms,9_1983_592B,F,284,9,1983,30392,168,0.234,4.914,0.428,0.121,31.0475306,7.093809524,5.542,9.60952381,23.5,0,90.89742757,592B,14.26,7.4,45.3,20.75,0.6,8.666360051,0.03,0.03,0.03,0.03,0.01,NA,0.018,NA,2.46,0.08,4.51,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/17/1983,Spring,2.657458415,-0.848632083,2.36175207,3.198673118,-0.510825624,2.15944887,3.032546247,-4.605170186,NA,-4.017383521,0.029558802,0.029558802,NA,NA,NA,Old-growth,post-log,-0.969009826,0.247022181
ms,9_1983_599B,F,285,9,1983,30413,189,0.283190476,5.947,1.723,0.108,77.81890546,8.591333333,6.711,11.51904762,69.5,0,139.1377158,599B,17.07,7.5,38.9,19.42,3.77,7.88,0.05,0.02,0.05,0.02,0.02,0.03,0.004,NA,2.31,0.2,4.24,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/7/1983,Spring,2.837322537,0.544066958,2.527251294,4.25561271,1.327075001,2.064327904,2.966303463,-3.912023005,-3.506557897,-5.521460918,0.048790164,0.019802627,NA,NA,NA,Old-growth,post-log,-0.99374658,-0.111659007
ms,9_1983_606B,F,286,9,1983,30432,208,0.088105263,1.674,0.167,0.052,38.69187612,2.673421053,1.888,2.526315789,14,0,145.7484045,606B,4.94,7.6,43.4,21.5,1.29,9.32,0.02,0.02,0.02,0.02,0.02,NA,0.005,NA,2.58,0.23,4.68,1.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/26/1983,Spring,1.597365331,-1.789761467,1.26025364,2.708050201,0.254642218,2.232162629,3.068052935,-3.912023005,NA,-5.298317367,0.019802627,0.019802627,NA,NA,NA,Old-growth,post-log,-0.90519319,-0.42500034
md,9_1983_613B,F,287,9,1983,30455,231,0.073608696,1.693,0.335,0.045,59.17287089,2.231956522,1.907,5.886956522,32.5,0,147.72869,613B,4.85,7.9,44.8,24.08,2.59,8.77,0.09,0.07,0.07,0.05,0.05,0.02,0.003,0.02,2.74,0.21,3.37,1.04,NA,NA,NA,0.000421725,0.007011903,19.39783157,0.014487622,0.240881536,1.44876224,24.08815364,NA,NA,5/19/1983,Spring,1.578978705,-1.093624747,1.929629263,3.511545439,0.951657876,2.171336806,3.18138162,-2.995732274,-3.912023005,-5.80914299,0.086177696,0.067658648,NA,0.623883179,0.037522942,Old-growth,post-log,-0.671259958,-0.741222011
ms,9_1983_620B,F,288,9,1983,30474,250,0.035421053,0.673,0.047,0.029,11.72803049,1.075210526,0.759,0.636842105,9,0,326.9238988,620B,1.95,7.6,53.2,27.21,1.72,10.44,0.06,0.04,0.06,0.04,0.04,0.02,0.002,0.004,3.01,0.2,3.29,1.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/7/1983,Spring,0.667829373,-3.057607677,0.49276884,2.302585093,0.542324291,2.345644582,3.303584553,-3.218875825,-3.912023005,-6.214608098,0.058268908,0.039220713,NA,NA,NA,Old-growth,post-log,-0.397542814,-0.917583626
ms,9_1983_627B,F,289,9,1983,30495,271,0.030333333,0.637,0.052,0.024,18.65868053,0.920952381,0.722,3.414285714,21.8,0,176.9248235,627B,1.82,7.6,59.1,31.29,0.35,10.36,0.03,0.03,0.03,0.03,0.03,NA,0.003,0.002,3.19,0.24,3.47,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/28/1983,Summer,0.598836501,-2.95651156,1.484846035,3.126760536,-1.049822124,2.337952237,3.443298558,-3.506557897,NA,-5.80914299,0.029558802,0.029558802,NA,NA,NA,Old-growth,post-log,-0.047321388,-0.998879716
md,9_1983_634B,F,290,9,1983,30517,293,0.035454545,0.78,0.133,0.026,38.90465137,1.073863636,0.88,3.627272727,34.3,0,223.8080069,634B,2.22,7.5,52.1,31.75,12.03,9.91,0.08,0.05,0.08,0.05,0.05,0.03,0.003,0.001,3.28,0.23,3.71,1.4,NA,NA,NA,0.000991651,0.035689786,41.98864286,0.009564677,0.34423526,0.956467691,34.42352597,NA,NA,7/20/1983,Summer,0.797507196,-2.017406151,1.531967651,3.563882964,2.48740353,2.293544348,3.457892725,-2.995732274,-3.506557897,-5.80914299,0.076961041,0.048790164,NA,4.141150174,0.115063063,Old-growth,post-log,0.325342085,-0.945596387
md,9_1983_641B,F,291,9,1983,30538,314,0.021142857,0.444,0.028,0.017,16.47180339,0.644666667,0.502,0.09047619,1,0,258.9826677,641B,1.3,7.7,71.8,35.46,7.14,10.6,0.05,0.04,0.05,0.04,0.03,0.01,0.006,0.003,3.7,0.25,3.74,1.47,NA,NA,NA,0.000502157,0.022760165,52.87891836,0.008945645,0.405459436,0.894564457,40.5459436,NA,NA,8/10/1983,Summer,0.262364265,-3.575550769,0.086614472,0.693147181,1.965712776,2.360854001,3.568405301,-3.506557897,-4.605170186,-5.11599581,0.048790164,0.039220713,NA,2.894980373,0.063871902,Old-growth,post-log,0.638749422,-0.769414827
ms,9_1983_648B,A,292,9,1983,30558,334,0.0144,0.288,0.114,0.009,56.7488797,0.43395,0.322,2.825,41.3,0,328.6950613,648B,0.81,7.6,62.6,32.62,1.1,11,0.08,0.06,0.08,0.06,0.05,0.02,0.006,0.002,3.56,0.24,4.29,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8/30/1983,Summer,-0.210721031,-2.171556831,1.341558467,3.744787086,0.09531018,2.397895273,3.484925597,-2.995732274,-3.912023005,-5.11599581,0.076961041,0.058268908,NA,NA,NA,Old-growth,post-log,0.860961016,-0.508670944
ms,9_1983_655B,F,293,9,1983,30580,356,0.019363636,0.426,0.026,0.013,23.18036559,0.588227273,0.479,1.031818182,6.3,0,178.5642693,655B,1.23,7.3,62.6,32.04,1.06,9.8,0.09,0.07,0.09,0.07,0.05,0.02,0.024,0.003,3.55,0.22,4.2,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9/21/1983,Fall,0.207014169,-3.649658741,0.708931048,1.987874348,0.058268908,2.282382386,3.466985122,-2.995732274,-3.912023005,-3.729701449,0.086177696,0.067658648,NA,NA,NA,Old-growth,post-log,0.988022666,-0.154308821
ms,9_1984_662B,F,294,9,1984,30601,12,0.015095238,0.317,0.031,0.013,25.39089265,0.459190476,0.362,1.147619048,14,0,306.1424173,662B,0.91,7.7,33.6,35.41,7.135,10.55,0.11,0.09,0.1,0.08,0.05,0.02,0.033,0.011,3.88,0.25,4.49,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10/12/1983,Fall,-0.094310679,-3.473768074,0.764359809,2.708050201,1.965012251,2.35612586,3.566994266,-2.995732274,-3.912023005,-3.411247718,0.104360015,0.086177696,NA,NA,NA,Old-growth,post-log,0.97874008,0.2051045
ms,9_1984_669B,A,295,9,1984,30622,33,0.032571429,0.684,0.243,0.014,43.81401134,0.988666667,0.771,4.585714286,24,0,178.6622694,669B,1.91,7.7,62.4,32.91,13.21,10.07,0.19,0.08,0.19,0.08,0.08,0.11,0.001,0.002,3.34,0.28,4.24,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11/2/1983,Fall,0.647103242,-1.414693836,1.720212318,3.218875825,2.580974119,2.309560707,3.493776563,-2.525728644,-2.207274913,-6.907755279,0.173953307,0.076961041,NA,NA,NA,Old-growth,post-log,0.842941537,0.538005172
md,9_1984_676B,F,296,9,1984,30642,53,0.1718,3.436,1.224,0.032,85.01119597,5.20765,3.876,17.355,43.3,0.5,77.43230711,676B,9.78,7,48.3,22.25,7.14,8.49,0.16,0.11,0.16,0.11,0.1,0.05,0.01,0.004,2.83,0.16,5.26,1.59,0.41,1.68,NA,0.001041141,0.013087477,14.66537005,0.017540411,0.220488531,1.75404111,22.04885311,-27.03546822,0.452624829,11/22/1983,Fall,2.280339484,0.202124184,2.909902017,3.790984677,1.965712776,2.138889,3.102342009,-2.302585093,-2.995732274,-4.605170186,0.148420005,0.104360015,NA,1.574288112,0.125238535,Old-growth,post-log,0.611886401,0.790945657
ms,9_1984_683B,A,297,9,1984,30665,76,0.439608696,10.111,2.088,0.086,82.42043935,13.33573913,11.408,19.58695652,68.5,0,101.487531,683B,28.06,7.1,31.6,15.71,1.6,7.73,0.06,0.05,0.06,0.05,0.05,0.01,0.002,0.001,2.01,0.18,3.43,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12/15/1983,Winter,3.334345075,0.73620667,3.024657697,4.241326753,0.470003629,2.045108863,2.754297452,-2.995732274,-4.605170186,-6.214608098,0.058268908,0.048790164,NA,NA,NA,Old-growth,post-log,0.259511797,0.965739938
ms,9_1984_690B,P,298,9,1984,30686,97,0.30547619,6.415,1.279,0.114,63.67942408,9.267857143,7.239,7.604761905,44.8,0,149.977847,690B,18.96,7.2,38,19.29,0.7,9.19,0.09,0.07,0.08,0.06,0.04,0.02,0.023,0.005,2.67,0.2,3.08,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/5/1984,Winter,2.942331497,0.246078523,2.15231576,3.824284091,-0.356674944,2.218115936,2.959586827,-3.218875825,-3.912023005,-3.772261063,0.086177696,0.067658648,NA,NA,NA,Old-growth,post-log,-0.098820139,0.995105311
ms,9_1984_697B,A,299,9,1984,30707,118,0.221666667,4.655,0.887,0.099,56.73303774,6.723952381,5.252,7,28.5,0,151.9579695,697B,13.57,7.3,36.1,18.37,0.55,9.14,0.04,0.04,0.04,0.04,0.03,NA,0.007,0.003,2.36,0.16,3.7,1.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1/26/1984,Winter,2.607861474,-0.119910297,2.079441542,3.384390263,-0.597837001,2.212660385,2.910718899,-3.506557897,NA,-4.96184513,0.039220713,0.039220713,NA,NA,NA,Old-growth,post-log,-0.444378178,0.895839291
md,9_1984_704B,F,300,9,1984,30727,138,0.35075,7.015,2.714,0.062,153.2852694,10.64135,7.914,13.82,109,0,201.8341104,704B,19.58,7.5,35,17.71,8.15,8.79,0.09,0.03,0.09,0.03,0.03,0.06,0.002,0.001,2.28,0.16,3.21,1,NA,NA,NA,0.000863471,0.009476344,12.80383579,0.013546032,0.148663855,1.354603157,14.86638548,-26.86736972,1.364538194,2/15/1984,Winter,2.974508637,0.998423561,2.69597762,4.700480366,2.098017927,2.173614712,2.874129452,-3.506557897,-2.813410717,-6.214608098,0.086177696,0.029558802,NA,1.211610417,0.110400157,Old-growth,post-log,-0.72066715,0.693281227
ms,9_1984_711B,F,301,9,1984,30748,159,0.269047619,5.65,0.949,0.101,49.12940522,8.163190476,6.377,6.228571429,38,0,140.9712961,711B,16.88,7.5,37.2,17.92,0.86,9.5,0.02,0.02,0.02,0.02,0.02,NA,0.001,NA,2.39,0.14,2.97,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/7/1984,Winter,2.826129489,-0.05234648,1.978041427,3.663561646,-0.15082289,2.251291799,2.885917408,-3.912023005,NA,-6.907755279,0.019802627,0.019802627,NA,NA,NA,Old-growth,post-log,-0.91928597,0.393590277
ms,9_1984_718B,F,302,9,1984,30769,180,0.371809524,7.808,1.241,0.097,64.17923842,11.2777619,8.807,15.91904762,40.9,0.3,71.10873255,718B,22.13,7.5,38,20.58,1.23,9.05,0.05,0.04,0.05,0.04,0.04,0.01,0.003,0.001,2.36,0.18,3.49,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/28/1984,Spring,3.096934154,0.215917506,2.828440065,3.735285827,0.207014169,2.202764758,3.02431973,-3.218875825,-4.605170186,-5.80914299,0.048790164,0.039220713,NA,NA,NA,Old-growth,post-log,-0.999074115,0.043022233
ms,9_1984_725B,A,303,9,1984,30791,202,0.232545455,5.116,1,0.105,65.02193106,7.052590909,5.771,8.154545455,34.4,0,128.5533861,725B,14.57,7.6,36.7,21.58,0.17,9.55,0.04,0.03,0.04,0.03,0.03,0.01,0.003,0.003,2.7,0.14,3.25,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4/19/1984,Spring,2.67896462,0,2.214250527,3.56671182,-1.771956842,2.256541154,3.07176696,-3.506557897,-4.605170186,-5.80914299,0.039220713,0.029558802,NA,NA,NA,Old-growth,post-log,-0.944187509,-0.329408482
ms,9_1984_732B,F,304,9,1984,30811,222,0.166,3.32,0.726,0.074,59.5281223,5.0363,3.744,6.82,28.9,0,141.8033364,732B,9.83,7.5,38,21.37,0.76,9.36,0.05,0.04,0.05,0.04,0.04,0.01,0.004,0.002,2.51,0.09,3.32,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/9/1984,Spring,2.285438934,-0.320205264,2.056684555,3.39785848,-0.274436846,2.23644529,3.061988069,-3.218875825,-4.605170186,-5.521460918,0.048790164,0.039220713,NA,NA,NA,Old-growth,post-log,-0.777597147,-0.628762815
ms,9_1984_739B,F,305,9,1984,30832,243,0.098761905,2.074,0.268,0.057,40.12621504,2.994761905,2.339,5.761904762,31,0,156.041565,739B,6,7.6,44.3,24.33,0.85,10.05,0.1,0.1,0.05,0.05,0.05,NA,0.002,0.05,2.65,0.22,3.76,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5/30/1984,Spring,1.791759469,-1.316768298,1.91130462,3.465735903,-0.16251893,2.307572635,3.191710157,-2.995732274,NA,-6.214608098,0.09531018,0.09531018,NA,NA,NA,Old-growth,post-log,-0.504961055,-0.863142128
ms,9_1984_746B,F,306,9,1984,30852,263,0.1483,2.966,1.187,0.048,99.40633479,4.49635,3.341,6.69,43.1,0,192.8375529,746B,8.49,7.7,47.4,24.5,2.34,9.79,0.05,0.03,0.05,0.03,0.02,0.02,0.006,0.002,2.7,0.15,3.49,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6/19/1984,Summer,2.138889,0.171429116,2.039920784,3.786459782,0.850150929,2.281361457,3.198673118,-3.912023005,-3.912023005,-5.11599581,0.048790164,0.029558802,NA,NA,NA,Old-growth,post-log,-0.183998352,-0.982926552
