"","site","elev","date","p_mm_day","elev_c"
"3814","CS2MET",260,1968-03-10,0,"Low"
"3815","CS2MET",260,1968-03-11,1.5,"Low"
"3816","CS2MET",260,1968-03-12,6.9,"Low"
"3817","CS2MET",260,1968-03-13,3.6,"Low"
"3818","CS2MET",260,1968-03-14,7.6,"Low"
"3819","CS2MET",260,1968-03-15,0.3,"Low"
"3820","CS2MET",260,1968-03-16,12.4,"Low"
"3821","CS2MET",260,1968-03-17,4.6,"Low"
"3822","CS2MET",260,1968-03-18,1,"Low"
"3823","CS2MET",260,1968-03-19,0,"Low"
"3824","CS2MET",260,1968-03-20,0,"Low"
"3825","CS2MET",260,1968-03-21,0,"Low"
"3826","CS2MET",260,1968-03-22,0,"Low"
"3827","CS2MET",260,1968-03-23,14,"Low"
"3828","CS2MET",260,1968-03-24,13.5,"Low"
"3829","CS2MET",260,1968-03-25,45.2,"Low"
"3830","CS2MET",260,1968-03-26,2,"Low"
"3831","CS2MET",260,1968-03-27,11.2,"Low"
"3832","CS2MET",260,1968-03-28,4.6,"Low"
"3833","CS2MET",260,1968-03-29,1,"Low"
"3834","CS2MET",260,1968-03-30,0,"Low"
"3835","CS2MET",260,1968-03-31,0,"Low"
"3836","CS2MET",260,1968-04-01,3,"Low"
"3837","CS2MET",260,1968-04-02,1.8,"Low"
"3838","CS2MET",260,1968-04-03,0,"Low"
"3839","CS2MET",260,1968-04-04,15.2,"Low"
"3840","CS2MET",260,1968-04-05,10.2,"Low"
"3841","CS2MET",260,1968-04-06,8.4,"Low"
"3842","CS2MET",260,1968-04-07,1.5,"Low"
"3843","CS2MET",260,1968-04-08,0,"Low"
"3844","CS2MET",260,1968-04-09,0,"Low"
"3845","CS2MET",260,1968-04-10,0,"Low"
"3846","CS2MET",260,1968-04-11,0,"Low"
"3847","CS2MET",260,1968-04-12,0,"Low"
"3848","CS2MET",260,1968-04-13,0,"Low"
"3849","CS2MET",260,1968-04-14,6.9,"Low"
"3850","CS2MET",260,1968-04-15,10.4,"Low"
"3851","CS2MET",260,1968-04-16,5.8,"Low"
"3852","CS2MET",260,1968-04-17,0,"Low"
"3853","CS2MET",260,1968-04-18,1.3,"Low"
"3854","CS2MET",260,1968-04-19,4.3,"Low"
"3855","CS2MET",260,1968-04-20,2.8,"Low"
"3856","CS2MET",260,1968-04-21,0.3,"Low"
"3857","CS2MET",260,1968-04-22,0,"Low"
"3858","CS2MET",260,1968-04-23,8.9,"Low"
"3859","CS2MET",260,1968-04-24,0,"Low"
"3860","CS2MET",260,1968-04-25,5.3,"Low"
"3861","CS2MET",260,1968-04-26,3.6,"Low"
"3862","CS2MET",260,1968-04-27,0,"Low"
"3863","CS2MET",260,1968-04-28,0,"Low"
"3864","CS2MET",260,1968-04-29,0,"Low"
"3865","CS2MET",260,1968-04-30,3.6,"Low"
"3866","CS2MET",260,1968-05-01,0,"Low"
"3867","CS2MET",260,1968-05-02,0,"Low"
"3868","CS2MET",260,1968-05-03,0,"Low"
"3869","CS2MET",260,1968-05-04,1,"Low"
"3870","CS2MET",260,1968-05-05,5.1,"Low"
"3871","CS2MET",260,1968-05-06,1,"Low"
"3872","CS2MET",260,1968-05-07,0,"Low"
"3873","CS2MET",260,1968-05-08,0,"Low"
"3874","CS2MET",260,1968-05-09,0,"Low"
"3875","CS2MET",260,1968-05-10,0,"Low"
"3876","CS2MET",260,1968-05-11,0,"Low"
"3877","CS2MET",260,1968-05-12,2,"Low"
"3878","CS2MET",260,1968-05-13,0.8,"Low"
"3879","CS2MET",260,1968-05-14,0,"Low"
"3880","CS2MET",260,1968-05-15,0,"Low"
"3881","CS2MET",260,1968-05-16,0,"Low"
"3882","CS2MET",260,1968-05-17,0,"Low"
"3883","CS2MET",260,1968-05-18,0,"Low"
"3884","CS2MET",260,1968-05-19,26.2,"Low"
"3885","CS2MET",260,1968-05-20,17.5,"Low"
"3886","CS2MET",260,1968-05-21,9.4,"Low"
"3887","CS2MET",260,1968-05-22,8.9,"Low"
"3888","CS2MET",260,1968-05-23,6.6,"Low"
"3889","CS2MET",260,1968-05-24,8.6,"Low"
"3890","CS2MET",260,1968-05-25,21.1,"Low"
"3891","CS2MET",260,1968-05-26,19.6,"Low"
"3892","CS2MET",260,1968-05-27,0,"Low"
"3893","CS2MET",260,1968-05-28,0,"Low"
"3894","CS2MET",260,1968-05-29,0,"Low"
"3895","CS2MET",260,1968-05-30,0,"Low"
"3896","CS2MET",260,1968-05-31,0.8,"Low"
"3897","CS2MET",260,1968-06-01,3.6,"Low"
"3898","CS2MET",260,1968-06-02,12.2,"Low"
"3899","CS2MET",260,1968-06-03,0,"Low"
"3900","CS2MET",260,1968-06-04,0,"Low"
"3901","CS2MET",260,1968-06-05,0,"Low"
"3902","CS2MET",260,1968-06-06,0,"Low"
"3903","CS2MET",260,1968-06-07,0,"Low"
"3904","CS2MET",260,1968-06-08,0,"Low"
"3905","CS2MET",260,1968-06-09,0,"Low"
"3906","CS2MET",260,1968-06-10,0,"Low"
"3907","CS2MET",260,1968-06-11,0,"Low"
"3908","CS2MET",260,1968-06-12,0,"Low"
"3909","CS2MET",260,1968-06-13,1.5,"Low"
"3910","CS2MET",260,1968-06-14,0,"Low"
"3911","CS2MET",260,1968-06-15,0,"Low"
"3912","CS2MET",260,1968-06-16,0,"Low"
"3913","CS2MET",260,1968-06-17,0,"Low"
"3914","CS2MET",260,1968-06-18,0,"Low"
"3915","CS2MET",260,1968-06-19,0,"Low"
"3916","CS2MET",260,1968-06-20,0,"Low"
"3917","CS2MET",260,1968-06-21,0,"Low"
"3918","CS2MET",260,1968-06-22,28.7,"Low"
"3919","CS2MET",260,1968-06-23,0,"Low"
"3920","CS2MET",260,1968-06-24,0,"Low"
"3921","CS2MET",260,1968-06-25,0,"Low"
"3922","CS2MET",260,1968-06-26,0,"Low"
"3923","CS2MET",260,1968-06-27,0,"Low"
"3924","CS2MET",260,1968-06-28,13.5,"Low"
"3925","CS2MET",260,1968-06-29,1.3,"Low"
"3926","CS2MET",260,1968-06-30,0,"Low"
"3927","CS2MET",260,1968-07-01,0,"Low"
"3928","CS2MET",260,1968-07-02,0,"Low"
"3929","CS2MET",260,1968-07-03,0,"Low"
"3930","CS2MET",260,1968-07-04,0,"Low"
"3931","CS2MET",260,1968-07-05,0,"Low"
"3932","CS2MET",260,1968-07-06,0,"Low"
"3933","CS2MET",260,1968-07-07,0,"Low"
"3934","CS2MET",260,1968-07-08,0,"Low"
"3935","CS2MET",260,1968-07-09,0,"Low"
"3936","CS2MET",260,1968-07-10,0,"Low"
"3937","CS2MET",260,1968-07-11,0,"Low"
"3938","CS2MET",260,1968-07-12,6.6,"Low"
"3939","CS2MET",260,1968-07-13,0,"Low"
"3940","CS2MET",260,1968-07-14,0,"Low"
"3941","CS2MET",260,1968-07-15,0,"Low"
"3942","CS2MET",260,1968-07-16,0,"Low"
"3943","CS2MET",260,1968-07-17,0,"Low"
"3944","CS2MET",260,1968-07-18,0,"Low"
"3945","CS2MET",260,1968-07-19,3.8,"Low"
"3946","CS2MET",260,1968-07-20,0,"Low"
"3947","CS2MET",260,1968-07-21,0,"Low"
"3948","CS2MET",260,1968-07-22,0,"Low"
"3949","CS2MET",260,1968-07-23,0,"Low"
"3950","CS2MET",260,1968-07-24,0,"Low"
"3951","CS2MET",260,1968-07-25,0,"Low"
"3952","CS2MET",260,1968-07-26,0,"Low"
"3953","CS2MET",260,1968-07-27,0,"Low"
"3954","CS2MET",260,1968-07-28,0,"Low"
"3955","CS2MET",260,1968-07-29,0,"Low"
"3956","CS2MET",260,1968-07-30,0,"Low"
"3957","CS2MET",260,1968-07-31,0,"Low"
"3958","CS2MET",260,1968-08-01,0,"Low"
"3959","CS2MET",260,1968-08-02,0.5,"Low"
"3960","CS2MET",260,1968-08-03,0,"Low"
"3961","CS2MET",260,1968-08-04,0,"Low"
"3962","CS2MET",260,1968-08-05,0,"Low"
"3963","CS2MET",260,1968-08-06,0,"Low"
"3964","CS2MET",260,1968-08-07,0,"Low"
"3965","CS2MET",260,1968-08-08,0,"Low"
"3966","CS2MET",260,1968-08-09,0.3,"Low"
"3967","CS2MET",260,1968-08-10,5.3,"Low"
"3968","CS2MET",260,1968-08-11,0,"Low"
"3969","CS2MET",260,1968-08-12,0,"Low"
"3970","CS2MET",260,1968-08-13,7.1,"Low"
"3971","CS2MET",260,1968-08-14,29,"Low"
"3972","CS2MET",260,1968-08-15,6.9,"Low"
"3973","CS2MET",260,1968-08-16,6.4,"Low"
"3974","CS2MET",260,1968-08-17,14.7,"Low"
"3975","CS2MET",260,1968-08-18,11.4,"Low"
"3976","CS2MET",260,1968-08-19,10.7,"Low"
"3977","CS2MET",260,1968-08-20,0.3,"Low"
"3978","CS2MET",260,1968-08-21,0,"Low"
"3979","CS2MET",260,1968-08-22,0.8,"Low"
"3980","CS2MET",260,1968-08-23,16.5,"Low"
"3981","CS2MET",260,1968-08-24,6.1,"Low"
"3982","CS2MET",260,1968-08-25,24.1,"Low"
"3983","CS2MET",260,1968-08-26,14.5,"Low"
"3984","CS2MET",260,1968-08-27,6.4,"Low"
"3985","CS2MET",260,1968-08-28,0,"Low"
"3986","CS2MET",260,1968-08-29,0,"Low"
"3987","CS2MET",260,1968-08-30,0,"Low"
"3988","CS2MET",260,1968-08-31,0,"Low"
"3989","CS2MET",260,1968-09-01,0,"Low"
"3990","CS2MET",260,1968-09-02,0,"Low"
"3991","CS2MET",260,1968-09-03,0,"Low"
"3992","CS2MET",260,1968-09-04,0,"Low"
"3993","CS2MET",260,1968-09-05,0,"Low"
"3994","CS2MET",260,1968-09-06,0,"Low"
"3995","CS2MET",260,1968-09-07,0,"Low"
"3996","CS2MET",260,1968-09-08,0,"Low"
"3997","CS2MET",260,1968-09-09,0,"Low"
"3998","CS2MET",260,1968-09-10,0,"Low"
"3999","CS2MET",260,1968-09-11,0,"Low"
"4000","CS2MET",260,1968-09-12,0,"Low"
"4001","CS2MET",260,1968-09-13,30.2,"Low"
"4002","CS2MET",260,1968-09-14,26.9,"Low"
"4003","CS2MET",260,1968-09-15,13.2,"Low"
"4004","CS2MET",260,1968-09-16,0,"Low"
"4005","CS2MET",260,1968-09-17,0,"Low"
"4006","CS2MET",260,1968-09-18,14.5,"Low"
"4007","CS2MET",260,1968-09-19,8.4,"Low"
"4008","CS2MET",260,1968-09-20,1.8,"Low"
"4009","CS2MET",260,1968-09-21,0.5,"Low"
"4010","CS2MET",260,1968-09-22,0,"Low"
"4011","CS2MET",260,1968-09-23,0,"Low"
"4012","CS2MET",260,1968-09-24,0,"Low"
"4013","CS2MET",260,1968-09-25,0,"Low"
"4014","CS2MET",260,1968-09-26,0,"Low"
"4015","CS2MET",260,1968-09-27,0,"Low"
"4016","CS2MET",260,1968-09-28,0,"Low"
"4017","CS2MET",260,1968-09-29,0,"Low"
"4018","CS2MET",260,1968-09-30,0,"Low"
"4019","CS2MET",260,1968-10-01,0,"Low"
"4020","CS2MET",260,1968-10-02,0,"Low"
"4021","CS2MET",260,1968-10-03,0,"Low"
"4022","CS2MET",260,1968-10-04,8.1,"Low"
"4023","CS2MET",260,1968-10-05,0,"Low"
"4024","CS2MET",260,1968-10-06,6.4,"Low"
"4025","CS2MET",260,1968-10-07,0,"Low"
"4026","CS2MET",260,1968-10-08,0,"Low"
"4027","CS2MET",260,1968-10-09,0.8,"Low"
"4028","CS2MET",260,1968-10-10,14.7,"Low"
"4029","CS2MET",260,1968-10-11,51.3,"Low"
"4030","CS2MET",260,1968-10-12,13.5,"Low"
"4031","CS2MET",260,1968-10-13,1.8,"Low"
"4032","CS2MET",260,1968-10-14,36.3,"Low"
"4033","CS2MET",260,1968-10-15,23.4,"Low"
"4034","CS2MET",260,1968-10-16,0,"Low"
"4035","CS2MET",260,1968-10-17,6.1,"Low"
"4036","CS2MET",260,1968-10-18,1.5,"Low"
"4037","CS2MET",260,1968-10-19,11.4,"Low"
"4038","CS2MET",260,1968-10-20,29.7,"Low"
"4039","CS2MET",260,1968-10-21,1,"Low"
"4040","CS2MET",260,1968-10-22,12.4,"Low"
"4041","CS2MET",260,1968-10-23,0,"Low"
"4042","CS2MET",260,1968-10-24,0,"Low"
"4043","CS2MET",260,1968-10-25,0.3,"Low"
"4044","CS2MET",260,1968-10-26,0,"Low"
"4045","CS2MET",260,1968-10-27,0,"Low"
"4046","CS2MET",260,1968-10-28,0,"Low"
"4047","CS2MET",260,1968-10-29,13.2,"Low"
"4048","CS2MET",260,1968-10-30,16,"Low"
"4049","CS2MET",260,1968-10-31,0,"Low"
"4050","CS2MET",260,1968-11-01,10.9,"Low"
"4051","CS2MET",260,1968-11-02,24.4,"Low"
"4052","CS2MET",260,1968-11-03,0,"Low"
"4053","CS2MET",260,1968-11-04,0,"Low"
"4054","CS2MET",260,1968-11-05,2.8,"Low"
"4055","CS2MET",260,1968-11-06,14,"Low"
"4056","CS2MET",260,1968-11-07,14.5,"Low"
"4057","CS2MET",260,1968-11-08,142.2,"Low"
"4058","CS2MET",260,1968-11-09,7.1,"Low"
"4059","CS2MET",260,1968-11-10,18.5,"Low"
"4060","CS2MET",260,1968-11-11,42.4,"Low"
"4061","CS2MET",260,1968-11-12,25.7,"Low"
"4062","CS2MET",260,1968-11-13,4.1,"Low"
"4063","CS2MET",260,1968-11-14,2.3,"Low"
"4064","CS2MET",260,1968-11-15,5.3,"Low"
"4065","CS2MET",260,1968-11-16,0.8,"Low"
"4066","CS2MET",260,1968-11-17,17.8,"Low"
"4067","CS2MET",260,1968-11-18,15.5,"Low"
"4068","CS2MET",260,1968-11-19,0,"Low"
"4069","CS2MET",260,1968-11-20,1.8,"Low"
"4070","CS2MET",260,1968-11-21,27.4,"Low"
"4071","CS2MET",260,1968-11-22,10.2,"Low"
"4072","CS2MET",260,1968-11-23,0,"Low"
"4073","CS2MET",260,1968-11-24,17,"Low"
"4074","CS2MET",260,1968-11-25,2.5,"Low"
"4075","CS2MET",260,1968-11-26,6.1,"Low"
"4076","CS2MET",260,1968-11-27,2.8,"Low"
"4077","CS2MET",260,1968-11-28,0,"Low"
"4078","CS2MET",260,1968-11-29,8.1,"Low"
"4079","CS2MET",260,1968-11-30,16.5,"Low"
"4080","CS2MET",260,1968-12-01,17.3,"Low"
"4081","CS2MET",260,1968-12-02,22.4,"Low"
"4082","CS2MET",260,1968-12-03,24.1,"Low"
"4083","CS2MET",260,1968-12-04,103.4,"Low"
"4084","CS2MET",260,1968-12-05,10.7,"Low"
"4085","CS2MET",260,1968-12-06,0,"Low"
"4086","CS2MET",260,1968-12-07,4.3,"Low"
"4087","CS2MET",260,1968-12-08,2,"Low"
"4088","CS2MET",260,1968-12-09,10.9,"Low"
"4089","CS2MET",260,1968-12-10,18.3,"Low"
"4090","CS2MET",260,1968-12-11,27.7,"Low"
"4091","CS2MET",260,1968-12-12,5.1,"Low"
"4092","CS2MET",260,1968-12-13,7.6,"Low"
"4093","CS2MET",260,1968-12-14,5.8,"Low"
"4094","CS2MET",260,1968-12-15,23.1,"Low"
"4095","CS2MET",260,1968-12-16,33,"Low"
"4096","CS2MET",260,1968-12-17,2.8,"Low"
"4097","CS2MET",260,1968-12-18,29,"Low"
"4098","CS2MET",260,1968-12-19,3.3,"Low"
"4099","CS2MET",260,1968-12-20,0,"Low"
"4100","CS2MET",260,1968-12-21,0,"Low"
"4101","CS2MET",260,1968-12-22,36.8,"Low"
"4102","CS2MET",260,1968-12-23,20.6,"Low"
"4103","CS2MET",260,1968-12-24,17,"Low"
"4104","CS2MET",260,1968-12-25,2.8,"Low"
"4105","CS2MET",260,1968-12-26,19.1,"Low"
"4106","CS2MET",260,1968-12-27,55.9,"Low"
"4107","CS2MET",260,1968-12-28,7.1,"Low"
"4108","CS2MET",260,1968-12-29,10.9,"Low"
"4109","CS2MET",260,1968-12-30,30.5,"Low"
"4110","CS2MET",260,1968-12-31,5.1,"Low"
"4111","CS2MET",260,1969-01-01,22.9,"Low"
"4112","CS2MET",260,1969-01-02,1.5,"Low"
"4113","CS2MET",260,1969-01-03,13.7,"Low"
"4114","CS2MET",260,1969-01-04,5.8,"Low"
"4115","CS2MET",260,1969-01-05,17.5,"Low"
"4116","CS2MET",260,1969-01-06,12.2,"Low"
"4117","CS2MET",260,1969-01-07,46.2,"Low"
"4118","CS2MET",260,1969-01-08,7.6,"Low"
"4119","CS2MET",260,1969-01-09,39.4,"Low"
"4120","CS2MET",260,1969-01-10,42.7,"Low"
"4121","CS2MET",260,1969-01-11,23.1,"Low"
"4122","CS2MET",260,1969-01-12,33.5,"Low"
"4123","CS2MET",260,1969-01-13,13.2,"Low"
"4124","CS2MET",260,1969-01-14,5.1,"Low"
"4125","CS2MET",260,1969-01-15,10.4,"Low"
"4126","CS2MET",260,1969-01-16,19.8,"Low"
"4127","CS2MET",260,1969-01-17,11.2,"Low"
"4128","CS2MET",260,1969-01-18,2.3,"Low"
"4129","CS2MET",260,1969-01-19,1.3,"Low"
"4130","CS2MET",260,1969-01-20,3,"Low"
"4131","CS2MET",260,1969-01-21,4.3,"Low"
"4132","CS2MET",260,1969-01-22,5.1,"Low"
"4133","CS2MET",260,1969-01-23,0,"Low"
"4134","CS2MET",260,1969-01-24,3.6,"Low"
"4135","CS2MET",260,1969-01-25,10.4,"Low"
"4136","CS2MET",260,1969-01-26,29.5,"Low"
"4137","CS2MET",260,1969-01-27,40.6,"Low"
"4138","CS2MET",260,1969-01-28,9.9,"Low"
"4139","CS2MET",260,1969-01-29,22.6,"Low"
"4140","CS2MET",260,1969-01-30,30,"Low"
"4141","CS2MET",260,1969-01-31,50.5,"Low"
"4142","CS2MET",260,1969-02-01,48.5,"Low"
"4143","CS2MET",260,1969-02-02,3.8,"Low"
"4144","CS2MET",260,1969-02-03,2,"Low"
"4145","CS2MET",260,1969-02-04,6.1,"Low"
"4146","CS2MET",260,1969-02-05,1.8,"Low"
"4147","CS2MET",260,1969-02-06,1.5,"Low"
"4148","CS2MET",260,1969-02-07,1,"Low"
"4149","CS2MET",260,1969-02-08,26.4,"Low"
"4150","CS2MET",260,1969-02-09,4.6,"Low"
"4151","CS2MET",260,1969-02-10,10.7,"Low"
"4152","CS2MET",260,1969-02-11,11.4,"Low"
"4153","CS2MET",260,1969-02-12,3.8,"Low"
"4154","CS2MET",260,1969-02-13,5.1,"Low"
"4155","CS2MET",260,1969-02-14,8.4,"Low"
"4156","CS2MET",260,1969-02-15,3,"Low"
"4157","CS2MET",260,1969-02-16,0.3,"Low"
"4158","CS2MET",260,1969-02-17,0,"Low"
"4159","CS2MET",260,1969-02-18,0,"Low"
"4160","CS2MET",260,1969-02-19,0.3,"Low"
"4161","CS2MET",260,1969-02-20,1.3,"Low"
"4162","CS2MET",260,1969-02-21,0,"Low"
"4163","CS2MET",260,1969-02-22,0,"Low"
"4164","CS2MET",260,1969-02-23,3,"Low"
"4165","CS2MET",260,1969-02-24,1,"Low"
"4166","CS2MET",260,1969-02-25,0.5,"Low"
"4167","CS2MET",260,1969-02-26,0.8,"Low"
"4168","CS2MET",260,1969-02-27,0,"Low"
"4169","CS2MET",260,1969-02-28,7.1,"Low"
"4170","CS2MET",260,1969-03-01,0.3,"Low"
"4171","CS2MET",260,1969-03-02,5.6,"Low"
"4172","CS2MET",260,1969-03-03,4.1,"Low"
"4173","CS2MET",260,1969-03-04,0,"Low"
"4174","CS2MET",260,1969-03-05,43.4,"Low"
"4175","CS2MET",260,1969-03-06,30.7,"Low"
"4176","CS2MET",260,1969-03-07,0,"Low"
"4177","CS2MET",260,1969-03-08,0,"Low"
"4178","CS2MET",260,1969-03-09,0,"Low"
"4179","CS2MET",260,1969-03-10,0,"Low"
"4180","CS2MET",260,1969-03-11,0,"Low"
"4181","CS2MET",260,1969-03-12,0,"Low"
"4182","CS2MET",260,1969-03-13,0,"Low"
"4183","CS2MET",260,1969-03-14,0,"Low"
"4184","CS2MET",260,1969-03-15,0,"Low"
"4185","CS2MET",260,1969-03-16,2.3,"Low"
"4186","CS2MET",260,1969-03-17,23.4,"Low"
"4187","CS2MET",260,1969-03-18,29.7,"Low"
"4188","CS2MET",260,1969-03-19,0,"Low"
"4189","CS2MET",260,1969-03-20,0,"Low"
"4190","CS2MET",260,1969-03-21,0,"Low"
"4191","CS2MET",260,1969-03-22,9.7,"Low"
"4192","CS2MET",260,1969-03-23,0,"Low"
"4193","CS2MET",260,1969-03-24,0,"Low"
"4194","CS2MET",260,1969-03-25,0,"Low"
"4195","CS2MET",260,1969-03-26,0,"Low"
"4196","CS2MET",260,1969-03-27,0,"Low"
"4197","CS2MET",260,1969-03-28,0,"Low"
"4198","CS2MET",260,1969-03-29,0,"Low"
"4199","CS2MET",260,1969-03-30,2,"Low"
"4200","CS2MET",260,1969-03-31,5.8,"Low"
"4201","CS2MET",260,1969-04-01,0,"Low"
"4202","CS2MET",260,1969-04-02,2.8,"Low"
"4203","CS2MET",260,1969-04-03,0,"Low"
"4204","CS2MET",260,1969-04-04,4.6,"Low"
"4205","CS2MET",260,1969-04-05,8.1,"Low"
"4206","CS2MET",260,1969-04-06,1.8,"Low"
"4207","CS2MET",260,1969-04-07,0,"Low"
"4208","CS2MET",260,1969-04-08,0,"Low"
"4209","CS2MET",260,1969-04-09,0.8,"Low"
"4210","CS2MET",260,1969-04-10,0,"Low"
"4211","CS2MET",260,1969-04-11,0,"Low"
"4212","CS2MET",260,1969-04-12,4.6,"Low"
"4213","CS2MET",260,1969-04-13,1.8,"Low"
"4214","CS2MET",260,1969-04-14,2.5,"Low"
"4215","CS2MET",260,1969-04-15,0,"Low"
"4216","CS2MET",260,1969-04-16,0,"Low"
"4217","CS2MET",260,1969-04-17,20.6,"Low"
"4218","CS2MET",260,1969-04-18,8.4,"Low"
"4219","CS2MET",260,1969-04-19,13.2,"Low"
"4220","CS2MET",260,1969-04-20,0.3,"Low"
"4221","CS2MET",260,1969-04-21,0,"Low"
"4222","CS2MET",260,1969-04-22,0.3,"Low"
"4223","CS2MET",260,1969-04-23,17,"Low"
"4224","CS2MET",260,1969-04-24,8.4,"Low"
"4225","CS2MET",260,1969-04-25,0.5,"Low"
"4226","CS2MET",260,1969-04-26,0,"Low"
"4227","CS2MET",260,1969-04-27,0,"Low"
"4228","CS2MET",260,1969-04-28,30.2,"Low"
"4229","CS2MET",260,1969-04-29,2.3,"Low"
"4230","CS2MET",260,1969-04-30,0,"Low"
"4231","CS2MET",260,1969-05-01,3,"Low"
"4232","CS2MET",260,1969-05-02,0.3,"Low"
"4233","CS2MET",260,1969-05-03,1,"Low"
"4234","CS2MET",260,1969-05-04,0,"Low"
"4235","CS2MET",260,1969-05-05,0,"Low"
"4236","CS2MET",260,1969-05-06,0,"Low"
"4237","CS2MET",260,1969-05-07,0,"Low"
"4238","CS2MET",260,1969-05-08,0,"Low"
"4239","CS2MET",260,1969-05-09,0,"Low"
"4240","CS2MET",260,1969-05-10,0,"Low"
"4241","CS2MET",260,1969-05-11,0,"Low"
"4242","CS2MET",260,1969-05-12,0,"Low"
"4243","CS2MET",260,1969-05-13,8.6,"Low"
"4244","CS2MET",260,1969-05-14,3.6,"Low"
"4245","CS2MET",260,1969-05-15,0,"Low"
"4246","CS2MET",260,1969-05-16,0,"Low"
"4247","CS2MET",260,1969-05-17,0,"Low"
"4248","CS2MET",260,1969-05-18,12.2,"Low"
"4249","CS2MET",260,1969-05-19,13,"Low"
"4250","CS2MET",260,1969-05-20,0,"Low"
"4251","CS2MET",260,1969-05-21,0,"Low"
"4252","CS2MET",260,1969-05-22,0,"Low"
"4253","CS2MET",260,1969-05-23,0,"Low"
"4254","CS2MET",260,1969-05-24,0,"Low"
"4255","CS2MET",260,1969-05-25,0,"Low"
"4256","CS2MET",260,1969-05-26,17.5,"Low"
"4257","CS2MET",260,1969-05-27,4.1,"Low"
"4258","CS2MET",260,1969-05-28,0,"Low"
"4259","CS2MET",260,1969-05-29,16.5,"Low"
"4260","CS2MET",260,1969-05-30,3,"Low"
"4261","CS2MET",260,1969-05-31,0,"Low"
"4262","CS2MET",260,1969-06-01,0,"Low"
"4263","CS2MET",260,1969-06-02,0,"Low"
"4264","CS2MET",260,1969-06-03,0,"Low"
"4265","CS2MET",260,1969-06-04,0,"Low"
"4266","CS2MET",260,1969-06-05,0,"Low"
"4267","CS2MET",260,1969-06-06,0,"Low"
"4268","CS2MET",260,1969-06-07,0.3,"Low"
"4269","CS2MET",260,1969-06-08,7.4,"Low"
"4270","CS2MET",260,1969-06-09,37.8,"Low"
"4271","CS2MET",260,1969-06-10,1.3,"Low"
"4272","CS2MET",260,1969-06-11,0,"Low"
"4273","CS2MET",260,1969-06-12,0,"Low"
"4274","CS2MET",260,1969-06-13,0,"Low"
"4275","CS2MET",260,1969-06-14,0,"Low"
"4276","CS2MET",260,1969-06-15,0,"Low"
"4277","CS2MET",260,1969-06-16,0,"Low"
"4278","CS2MET",260,1969-06-17,0,"Low"
"4279","CS2MET",260,1969-06-18,0,"Low"
"4280","CS2MET",260,1969-06-19,0,"Low"
"4281","CS2MET",260,1969-06-20,0,"Low"
"4282","CS2MET",260,1969-06-21,0,"Low"
"4283","CS2MET",260,1969-06-22,12.2,"Low"
"4284","CS2MET",260,1969-06-23,34,"Low"
"4285","CS2MET",260,1969-06-24,3.8,"Low"
"4286","CS2MET",260,1969-06-25,17,"Low"
"4287","CS2MET",260,1969-06-26,10.7,"Low"
"4288","CS2MET",260,1969-06-27,4.8,"Low"
"4289","CS2MET",260,1969-06-28,7.9,"Low"
"4290","CS2MET",260,1969-06-29,0.3,"Low"
"4291","CS2MET",260,1969-06-30,0,"Low"
"4292","CS2MET",260,1969-07-01,0,"Low"
"4293","CS2MET",260,1969-07-02,0,"Low"
"4294","CS2MET",260,1969-07-03,0,"Low"
"4295","CS2MET",260,1969-07-04,0,"Low"
"4296","CS2MET",260,1969-07-05,0,"Low"
"4297","CS2MET",260,1969-07-06,0,"Low"
"4298","CS2MET",260,1969-07-07,0,"Low"
"4299","CS2MET",260,1969-07-08,0,"Low"
"4300","CS2MET",260,1969-07-09,0,"Low"
"4301","CS2MET",260,1969-07-10,0,"Low"
"4302","CS2MET",260,1969-07-11,0,"Low"
"4303","CS2MET",260,1969-07-12,0,"Low"
"4304","CS2MET",260,1969-07-13,0,"Low"
"4305","CS2MET",260,1969-07-14,0,"Low"
"4306","CS2MET",260,1969-07-15,0,"Low"
"4307","CS2MET",260,1969-07-16,0,"Low"
"4308","CS2MET",260,1969-07-17,0,"Low"
"4309","CS2MET",260,1969-07-18,0,"Low"
"4310","CS2MET",260,1969-07-19,0,"Low"
"4311","CS2MET",260,1969-07-20,0,"Low"
"4312","CS2MET",260,1969-07-21,0,"Low"
"4313","CS2MET",260,1969-07-22,0,"Low"
"4314","CS2MET",260,1969-07-23,0,"Low"
"4315","CS2MET",260,1969-07-24,0,"Low"
"4316","CS2MET",260,1969-07-25,0,"Low"
"4317","CS2MET",260,1969-07-26,0,"Low"
"4318","CS2MET",260,1969-07-27,0,"Low"
"4319","CS2MET",260,1969-07-28,0,"Low"
"4320","CS2MET",260,1969-07-29,0,"Low"
"4321","CS2MET",260,1969-07-30,0,"Low"
"4322","CS2MET",260,1969-07-31,0,"Low"
"4323","CS2MET",260,1969-08-01,0,"Low"
"4324","CS2MET",260,1969-08-02,0,"Low"
"4325","CS2MET",260,1969-08-03,0,"Low"
"4326","CS2MET",260,1969-08-04,0,"Low"
"4327","CS2MET",260,1969-08-05,0,"Low"
"4328","CS2MET",260,1969-08-06,0,"Low"
"4329","CS2MET",260,1969-08-07,0,"Low"
"4330","CS2MET",260,1969-08-08,0,"Low"
"4331","CS2MET",260,1969-08-09,0,"Low"
"4332","CS2MET",260,1969-08-10,0,"Low"
"4333","CS2MET",260,1969-08-11,0,"Low"
